,ligands,fda
0,007,No
1,008,No
2,010,Yes
3,017,Yes
4,022,No
5,028,No
6,032,Yes
7,03M,No
8,041,No
9,04J,No
10,057,No
11,07J,No
12,08D,Yes
13,08H,No
14,093,No
15,09L,Yes
16,0DV,No
17,0HK,Yes
18,0L1,No
19,0LI,Yes
20,0MM,No
21,0MO,No
22,0MT,No
23,0R3,No
24,0SX,No
25,0TX,Yes
26,0V4,No
27,0V5,No
28,0W8,No
29,10A,Yes
30,117,Yes
31,11A,Yes
32,12H,No
33,12Q,No
34,13P,No
35,13X,No
36,140,No
37,141,No
38,142,Yes
39,145,Yes
40,146,No
41,147,No
42,14M,No
43,14W,No
44,152,Yes
45,16A,Yes
46,16D,No
47,16V,No
48,183,No
49,185,No
50,196,No
51,198,Yes
52,1AC,No
53,1AU,No
54,1AW,No
55,1BO,No
56,1C9,No
57,1CE,No
58,1CY,Yes
59,1DO,No
60,1E8,Yes
61,1FL,Yes
62,1FN,No
63,1GH,No
64,1JY,No
65,1K5,No
66,1KP,No
67,1KS,No
68,1KX,Yes
69,1LD,No
70,1MT,No
71,1MY,No
72,1N1,Yes
73,1O8,No
74,1PC,No
75,1PG,Yes
76,1RG,No
77,1RY,No
78,1RZ,No
79,1TA,No
80,1TB,No
81,1UN,Yes
82,1X9,No
83,1XJ,No
84,1Y0,No
85,1YE,No
86,205,No
87,20J,Yes
88,20W,No
89,210,Yes
90,211,Yes
91,212,Yes
92,216,No
93,22D,No
94,22U,No
95,242,No
96,244,No
97,252,No
98,255,No
99,26C,No
100,272,No
101,277,No
102,27J,No
103,27K,No
104,27R,No
105,28E,No
106,29S,Yes
107,2AN,No
108,2AS,No
109,2BC,No
110,2BE,No
111,2BF,No
112,2BR,No
113,2C0,Yes
114,2CA,No
115,2CH,No
116,2CS,No
117,2FA,Yes
118,2FD,No
119,2FF,No
120,2GJ,No
121,2H3,No
122,2HA,No
123,2HC,No
124,2IH,No
125,2KT,No
126,2KW,No
127,2LP,No
128,2MP,No
129,2OH,No
130,2OP,Yes
131,2OW,No
132,2PC,No
133,2PM,Yes
134,2QG,No
135,2RB,No
136,2RR,No
137,2S0,Yes
138,2T1,No
139,2TA,No
140,2TL,No
141,2V8,No
142,2YQ,No
143,307,No
144,30B,No
145,311,No
146,317,No
147,324,No
148,327,No
149,336,No
150,338,No
151,33E,No
152,33Y,Yes
153,340,No
154,34O,No
155,34W,No
156,352,No
157,356,Yes
158,357,No
159,35G,No
160,35R,No
161,361,No
162,36M,No
163,36R,No
164,37T,No
165,385,No
166,38O,No
167,397,No
168,3AD,No
169,3AS,No
170,3AT,No
171,3BE,No
172,3BK,No
173,3BT,No
174,3C0,No
175,3CA,No
176,3CH,No
177,3CJ,No
178,3CZ,No
179,3DH,No
180,3EW,No
181,3FG,No
182,3G4,No
183,3GT,No
184,3H4,No
185,3HA,No
186,3IB,No
187,3K3,No
188,3K9,No
189,3LP,No
190,3MI,No
191,3N6,No
192,3NG,No
193,3OH,No
194,3OO,No
195,3PG,Yes
196,3PO,No
197,3PP,No
198,3QB,Yes
199,3QZ,No
200,3RL,No
201,3TC,Yes
202,3TP,No
203,3WL,No
204,3YS,No
205,401,No
206,405,No
207,417,No
208,419,No
209,43F,No
210,444,No
211,448,No
212,44U,No
213,458,No
214,474,No
215,478,Yes
216,486,Yes
217,4AX,No
218,4B2,No
219,4BB,No
220,4BE,No
221,4BM,No
222,4BT,No
223,4CC,No
224,4CH,No
225,4D6,Yes
226,4DI,No
227,4EA,No
228,4HC,No
229,4HY,No
230,4IP,No
231,4MB,No
232,4MP,No
233,4MU,No
234,4MV,No
235,4NA,No
236,4NC,Yes
237,4NP,No
238,4OH,No
239,4PI,No
240,4QJ,No
241,4RF,No
242,4SP,No
243,4TB,No
244,4TX,Yes
245,516,No
246,524,No
247,537,No
248,53Q,Yes
249,53R,No
250,53S,No
251,53T,No
252,53V,No
253,553,No
254,555,No
255,55F,No
256,55J,No
257,55V,No
258,565,No
259,570,Yes
260,57D,No
261,5AP,No
262,5CA,No
263,5FW,Yes
264,5GP,Yes
265,5HG,No
266,5ID,No
267,5IQ,No
268,5IU,No
269,5MU,No
270,5NI,Yes
271,5NS,No
272,5OB,No
273,5PP,No
274,5PV,No
275,5SD,No
276,5SM,No
277,5UD,No
278,605,No
279,608,No
280,612,No
281,617,No
282,61T,Yes
283,627,No
284,62B,No
285,63J,No
286,63X,No
287,64L,No
288,64Z,No
289,654,No
290,657,Yes
291,65B,Yes
292,66F,No
293,66T,No
294,677,No
295,68H,Yes
296,697,No
297,69G,No
298,69Q,No
299,6D8,No
300,6EA,No
301,6EJ,No
302,6EU,No
303,6FS,No
304,6J3,No
305,6JP,No
306,6K9,Yes
307,6KT,No
308,6LH,No
309,6LR,No
310,6NI,No
311,6P9,No
312,6PG,No
313,6Q5,No
314,6RL,No
315,6SB,No
316,6SS,Yes
317,6T0,Yes
318,6T2,No
319,6T3,No
320,6UB,Yes
321,6V8,Yes
322,6VU,No
323,6VW,No
324,6WT,No
325,6ZP,Yes
326,700,Yes
327,706,No
328,715,Yes
329,71R,No
330,71V,No
331,72V,No
332,735,No
333,736,No
334,73Q,No
335,75U,No
336,778,No
337,789,No
338,78P,No
339,796,No
340,797,No
341,79K,No
342,7AC,No
343,7AK,No
344,7BA,No
345,7BD,No
346,7D6,No
347,7HC,No
348,7HG,No
349,7JA,No
350,7KC,No
351,7LD,No
352,7NI,No
353,7T1,No
354,7V7,Yes
355,7Z9,No
356,803,Yes
357,824,No
358,826,No
359,83R,Yes
360,846,No
361,84D,No
362,84G,No
363,851,No
364,859,No
365,869,No
366,870,No
367,872,No
368,877,No
369,87G,No
370,88U,No
371,88Z,No
372,893,No
373,8A7,No
374,8BR,No
375,8CG,No
376,8CL,No
377,8GC,No
378,8HG,No
379,8HO,No
380,8NG,No
381,8PC,No
382,8PR,No
383,8SO,No
384,8V0,No
385,8VU,No
386,8W5,No
387,8W8,No
388,8XJ,No
389,919,No
390,936,No
391,93J,No
392,949,No
393,94M,No
394,95E,Yes
395,965,Yes
396,96Q,No
397,970,No
398,975,No
399,99B,No
400,9AR,No
401,9B0,No
402,9CA,No
403,9CR,Yes
404,9CS,No
405,9DG,No
406,9EG,Yes
407,9EN,No
408,9HX,No
409,9JR,No
410,9KL,Yes
411,9MG,No
412,9PL,Yes
413,9RA,Yes
414,9SR,No
415,9TP,Yes
416,9UO,No
417,9X7,Yes
