,pdbID,interface_id,ligands,fda_approved,num_interfaces,num_ligands,fda,interface_str,ligand_str
0,11GS,"['11GS_A_B', '11GS_A_B']","['EAA', 'MES']","[1.0, 1.0]",2,2,Yes,"11GS_A_B, 11GS_A_B","EAA, MES"
1,13GS,"['13GS_A_B', '13GS_A_B']","['MES', 'SAS']","[1.0, 1.0]",2,2,Yes,"13GS_A_B, 13GS_A_B","MES, SAS"
2,13PK,['13PK_A_D'],['3PG'],[1.0],1,1,Yes,13PK_A_D,3PG
3,17GS,['17GS_A_B'],['MES'],[1.0],1,1,Yes,17GS_A_B,MES
4,1A07,['1A07_A_B'],['PTR'],[1.0],1,1,Yes,1A07_A_B,PTR
5,1A0H,['1A0H_A_B'],['NAG'],[1.0],1,1,Yes,1A0H_A_B,NAG
6,1A1B,['1A1B_A_B'],['PTR'],[1.0],1,1,Yes,1A1B_A_B,PTR
7,1A1C,['1A1C_A_B'],['PTR'],[1.0],1,1,Yes,1A1C_A_B,PTR
8,1A1E,['1A1E_A_B'],['PTR'],[1.0],1,1,Yes,1A1E_A_B,PTR
9,1A28,['1A28_A_B'],['STR'],[1.0],1,1,Yes,1A28_A_B,STR
10,1A37,"['1A37_A_B', '1A37_A_P']","['SEP', 'SEP']","[1.0, 1.0]",2,2,Yes,"1A37_A_B, 1A37_A_P","SEP, SEP"
11,1A3W,"['1A3W_A_B', '1A3W_A_B']","['FBP', 'PGA']","[1.0, 0.0]",2,2,Yes,"1A3W_A_B, 1A3W_A_B","FBP, PGA"
12,1A4F,['1A4F_A_B'],['OXY'],[1.0],1,1,Yes,1A4F_A_B,OXY
13,1A4G,"['1A4G_A_B', '1A4G_A_B']","['NAG', 'ZMR']","[1.0, 1.0]",2,2,Yes,"1A4G_A_B, 1A4G_A_B","NAG, ZMR"
14,1A50,['1A50_A_B'],['FIP'],[0.0],1,1,No,1A50_A_B,FIP
15,1A52,['1A52_A_B'],['EST'],[1.0],1,1,Yes,1A52_A_B,EST
